draw_id,draw_time,number_1,number_2,number_3,number_4,number_5,number_6,number_7,number_8,number_9,number_10,number_11,number_12,number_13,number_14,number_15,number_16,number_17,number_18,number_19,number_20,hour
1211757,1970-01-01 00:29:12.710100,40,12,22,20,36,25,30,59,6,43,63,15,61,78,38,27,73,50,70,4,0
1211756,1970-01-01 00:29:12.709800,35,56,46,6,15,17,79,23,4,70,27,10,33,32,39,77,22,64,24,55,0
1211755,1970-01-01 00:29:12.709500,74,23,48,35,58,3,70,33,2,42,7,39,21,13,19,1,26,11,41,47,0
1211754,1970-01-01 00:29:12.709200,17,21,39,65,35,2,10,36,49,24,63,42,18,44,43,8,50,13,68,28,0
1211753,1970-01-01 00:29:12.708900,78,5,69,59,68,55,10,71,50,17,49,8,16,65,36,20,64,7,21,73,0
1211752,1970-01-01 00:29:12.708600,32,50,42,18,53,26,31,72,6,74,34,68,36,60,9,56,64,14,3,65,0
1211751,1970-01-01 00:29:12.708300,77,16,79,12,36,30,41,57,52,26,28,9,65,39,5,38,14,34,43,31,0
1211750,1970-01-01 00:29:12.708000,33,54,6,17,64,7,2,43,10,3,76,78,53,73,21,55,32,14,74,12,0
1211749,1970-01-01 00:29:12.707700,53,10,72,68,2,29,25,21,6,77,44,30,11,17,51,31,35,67,24,47,0
1211748,1970-01-01 00:29:12.707400,35,44,54,66,71,50,8,22,59,31,14,27,3,5,1,28,57,33,18,74,0
