Combination,Frequency
"(11, 24, 33, 49)",2
"(11, 24, 33, 51)",2
"(11, 24, 49, 51)",2
"(11, 33, 49, 51)",2
"(12, 29, 32, 33)",2
"(12, 29, 32, 47)",2
"(12, 29, 32, 69)",2
"(12, 29, 33, 47)",2
"(12, 29, 33, 69)",2
"(12, 29, 47, 69)",2
"(12, 32, 33, 47)",2
"(12, 32, 33, 69)",2
"(12, 32, 47, 69)",2
"(12, 33, 47, 69)",2
"(24, 33, 49, 51)",2
"(29, 32, 33, 47)",2
"(29, 32, 33, 69)",2
"(29, 32, 47, 69)",2
"(29, 33, 47, 69)",2
"(32, 33, 47, 69)",2
"(33, 47, 51, 74)",2
"(7, 29, 30, 32)",2
"(7, 29, 30, 39)",2
"(7, 29, 30, 70)",2
"(7, 29, 32, 39)",2
"(7, 29, 32, 70)",2
"(7, 29, 39, 70)",2
"(7, 30, 32, 39)",2
"(7, 30, 32, 70)",2
"(7, 30, 39, 70)",2
"(7, 32, 39, 70)",2
"(8, 9, 58, 80)",2
"(29, 30, 32, 39)",2
"(29, 30, 32, 70)",2
"(29, 30, 39, 70)",2
"(29, 32, 39, 70)",2
"(30, 32, 39, 70)",2
"(26, 33, 54, 59)",2
"(26, 33, 54, 63)",2
"(26, 33, 59, 63)",2
"(26, 54, 59, 63)",2
"(33, 51, 54, 56)",2
"(33, 51, 54, 62)",2
"(33, 51, 54, 75)",2
"(33, 51, 56, 62)",2
"(33, 51, 56, 75)",2
"(33, 51, 62, 75)",2
"(33, 54, 56, 62)",2
"(33, 54, 56, 75)",2
"(33, 54, 59, 63)",2
"(33, 54, 62, 75)",2
"(33, 56, 62, 75)",2
"(51, 54, 56, 62)",2
"(51, 54, 56, 75)",2
"(51, 54, 62, 75)",2
"(51, 56, 62, 75)",2
"(54, 56, 62, 75)",2
"(22, 33, 40, 47)",2
"(22, 33, 40, 54)",2
"(22, 33, 47, 54)",2
"(22, 40, 47, 54)",2
"(33, 40, 47, 54)",2
"(5, 10, 11, 12)",1
"(5, 10, 11, 14)",1
"(5, 10, 11, 17)",1
"(5, 10, 11, 19)",1
"(5, 10, 11, 21)",1
"(5, 10, 11, 24)",1
"(5, 10, 11, 29)",1
"(5, 10, 11, 31)",1
"(5, 10, 11, 32)",1
"(5, 10, 11, 33)",1
"(5, 10, 11, 47)",1
"(5, 10, 11, 48)",1
"(5, 10, 11, 49)",1
"(5, 10, 11, 51)",1
"(5, 10, 11, 66)",1
"(5, 10, 11, 69)",1
"(5, 10, 11, 74)",1
"(5, 10, 12, 14)",1
"(5, 10, 12, 17)",1
"(5, 10, 12, 19)",1
"(5, 10, 12, 21)",1
"(5, 10, 12, 24)",1
"(5, 10, 12, 29)",1
"(5, 10, 12, 31)",1
"(5, 10, 12, 32)",1
"(5, 10, 12, 33)",1
"(5, 10, 12, 47)",1
"(5, 10, 12, 48)",1
"(5, 10, 12, 49)",1
"(5, 10, 12, 51)",1
"(5, 10, 12, 66)",1
"(5, 10, 12, 69)",1
"(5, 10, 12, 74)",1
"(5, 10, 14, 17)",1
"(5, 10, 14, 19)",1
"(5, 10, 14, 21)",1
"(5, 10, 14, 24)",1
"(5, 10, 14, 29)",1
