draw_id,date,hits,numbers
1211993,1752780900000,3,"[66, 33, 36, 44, 76, 45, 59, 72, 25, 30, 65, 18, 19, 74, 5, 43, 58, 60, 63, 41]"
1211992,1752780600000,0,"[68, 65, 69, 59, 34, 57, 25, 80, 8, 28, 32, 55, 73, 27, 22, 9, 29, 40, 13, 77]"
1211991,1752780300000,1,"[16, 24, 75, 41, 73, 66, 71, 54, 39, 56, 49, 15, 7, 25, 21, 58, 76, 23, 29, 6]"
1211990,1752780000000,1,"[28, 59, 19, 62, 31, 58, 66, 77, 22, 53, 57, 68, 45, 3, 10, 7, 47, 67, 54, 14]"
1211989,1752779700000,3,"[16, 60, 22, 41, 11, 32, 43, 42, 34, 12, 72, 76, 1, 62, 75, 6, 57, 5, 8, 24]"
1211988,1752779400000,3,"[40, 33, 73, 15, 78, 9, 76, 29, 53, 61, 58, 63, 2, 51, 71, 55, 36, 5, 60, 13]"
1211987,1752779100000,4,"[71, 57, 18, 62, 11, 40, 12, 30, 44, 45, 42, 67, 3, 64, 61, 15, 27, 65, 49, 8]"
1211986,1752778800000,3,"[15, 27, 34, 64, 67, 72, 46, 45, 9, 57, 79, 31, 68, 77, 19, 48, 21, 25, 52, 60]"
1211985,1752778500000,5,"[31, 4, 24, 55, 17, 7, 73, 61, 45, 21, 65, 11, 50, 68, 8, 5, 52, 46, 79, 15]"
1211984,1752778200000,4,"[23, 68, 73, 24, 30, 26, 69, 20, 39, 12, 67, 10, 63, 36, 28, 31, 37, 78, 41, 11]"
1211983,1752777900000,3,"[40, 54, 32, 75, 13, 73, 2, 56, 29, 21, 67, 69, 66, 71, 41, 34, 37, 64, 20, 70]"
1211982,1752777600000,2,"[16, 59, 15, 79, 73, 17, 76, 55, 6, 58, 10, 51, 40, 44, 64, 38, 63, 7, 3, 48]"
1211981,1752777300000,2,"[75, 42, 64, 10, 45, 17, 56, 57, 19, 54, 39, 60, 55, 2, 80, 71, 66, 7, 43, 16]"
1211980,1752777000000,2,"[12, 36, 58, 23, 21, 60, 63, 78, 77, 59, 2, 15, 56, 6, 55, 50, 17, 20, 39, 30]"
1211979,1752776700000,3,"[41, 9, 20, 73, 7, 15, 47, 77, 11, 44, 14, 32, 55, 58, 8, 33, 17, 63, 65, 53]"
1211978,1752776400000,4,"[3, 8, 76, 38, 48, 65, 39, 67, 5, 41, 68, 51, 35, 17, 73, 18, 56, 62, 6, 29]"
1211977,1752776100000,2,"[36, 62, 45, 55, 76, 54, 80, 5, 75, 35, 23, 79, 8, 3, 33, 28, 22, 10, 44, 47]"
1211976,1752775800000,3,"[76, 24, 20, 23, 64, 3, 28, 27, 25, 12, 30, 78, 57, 47, 21, 9, 67, 63, 71, 5]"
1211975,1752775500000,2,"[40, 38, 34, 28, 65, 2, 8, 69, 48, 30, 62, 55, 51, 14, 29, 61, 22, 56, 19, 46]"
1211974,1752775200000,4,"[35, 50, 63, 4, 37, 22, 70, 5, 34, 42, 71, 59, 46, 44, 33, 36, 60, 38, 40, 14]"
1211973,1752774900000,3,"[27, 66, 53, 70, 57, 67, 29, 20, 74, 69, 24, 31, 40, 71, 15, 73, 46, 11, 43, 72]"
1211972,1752774600000,2,"[38, 53, 48, 77, 31, 30, 22, 59, 69, 54, 6, 44, 19, 21, 46, 50, 66, 76, 51, 23]"
1211971,1752774300000,2,"[69, 54, 28, 30, 58, 10, 34, 5, 62, 65, 43, 80, 74, 78, 72, 41, 70, 75, 77, 60]"
1211970,1752774000000,3,"[52, 2, 73, 32, 45, 66, 80, 77, 53, 55, 50, 75, 71, 13, 31, 48, 33, 16, 68, 11]"
1211969,1752773700000,4,"[58, 59, 21, 68, 18, 77, 57, 62, 64, 22, 30, 20, 25, 17, 35, 5, 37, 50, 31, 13]"
1211968,1752773400000,5,"[28, 40, 19, 53, 48, 21, 22, 11, 37, 39, 7, 66, 70, 80, 17, 45, 10, 47, 15, 65]"
1211967,1752773100000,3,"[36, 59, 61, 2, 77, 18, 14, 50, 4, 38, 33, 25, 79, 26, 62, 19, 3, 10, 80, 20]"
1211966,1752772800000,3,"[72, 25, 30, 74, 44, 57, 77, 31, 39, 63, 46, 20, 35, 67, 42, 18, 22, 38, 70, 50]"
1211965,1752772500000,5,"[33, 44, 20, 67, 11, 6, 24, 3, 37, 75, 56, 10, 27, 46, 69, 48, 52, 35, 50, 64]"
1211964,1752772200000,3,"[43, 15, 58, 45, 63, 12, 6, 17, 59, 42, 39, 80, 3, 77, 34, 31, 79, 13, 67, 30]"
1211963,1752771900000,2,"[35, 65, 69, 44, 61, 41, 43, 38, 14, 58, 25, 79, 77, 60, 5, 66, 47, 32, 8, 49]"
1211962,1752771600000,2,"[40, 39, 12, 9, 73, 38, 58, 56, 72, 42, 34, 36, 6, 27, 66, 50, 79, 78, 48, 7]"
1211961,1752771300000,3,"[42, 4, 66, 58, 50, 59, 70, 27, 16, 62, 33, 77, 65, 9, 78, 19, 43, 6, 21, 72]"
1211960,1752771000000,4,"[21, 17, 45, 38, 15, 42, 37, 63, 40, 56, 80, 8, 77, 44, 1, 20, 13, 10, 24, 52]"
1211959,1752770700000,4,"[64, 35, 50, 6, 56, 37, 53, 13, 73, 32, 61, 5, 77, 29, 34, 76, 36, 78, 12, 74]"
1211958,1752770400000,2,"[14, 44, 31, 20, 56, 50, 70, 53, 59, 32, 29, 57, 68, 23, 67, 39, 76, 26, 16, 78]"
1211957,1752770100000,4,"[33, 43, 48, 78, 14, 61, 12, 75, 77, 66, 52, 63, 60, 53, 11, 29, 64, 13, 22, 31]"
1211956,1752769800000,1,"[3, 40, 69, 14, 43, 27, 70, 59, 6, 12, 52, 46, 20, 48, 15, 32, 34, 54, 80, 50]"
1211955,1752769500000,3,"[42, 57, 31, 78, 28, 70, 44, 67, 73, 49, 35, 30, 74, 72, 64, 53, 68, 32, 79, 7]"
1211954,1752769200000,1,"[15, 52, 78, 80, 5, 53, 41, 51, 77, 50, 16, 72, 4, 79, 20, 10, 35, 69, 30, 75]"
1211953,1752768900000,4,"[57, 49, 59, 28, 58, 51, 5, 70, 37, 47, 39, 30, 67, 15, 24, 35, 54, 22, 9, 74]"
1211952,1752768600000,5,"[74, 31, 80, 43, 36, 2, 56, 57, 67, 19, 17, 4, 53, 48, 35, 79, 75, 15, 60, 37]"
1211951,1752768300000,1,"[76, 77, 1, 15, 56, 2, 26, 12, 49, 58, 8, 54, 72, 28, 53, 40, 80, 66, 23, 68]"
1211950,1752768000000,3,"[63, 1, 15, 43, 48, 14, 73, 54, 25, 49, 8, 74, 65, 53, 70, 46, 3, 21, 50, 18]"
1211949,1752767700000,2,"[52, 70, 65, 54, 49, 15, 26, 53, 44, 7, 38, 11, 45, 3, 29, 25, 16, 51, 6, 75]"
1211948,1752767400000,7,"[49, 61, 34, 33, 26, 1, 32, 58, 7, 42, 77, 11, 62, 56, 50, 53, 67, 18, 74, 60]"
1211947,1752767100000,1,"[9, 44, 38, 25, 10, 57, 68, 4, 73, 63, 13, 47, 20, 66, 22, 46, 53, 60, 43, 61]"
1211946,1752766800000,1,"[12, 68, 10, 57, 4, 59, 71, 63, 19, 30, 33, 6, 60, 32, 31, 54, 75, 80, 34, 16]"
1211945,1752766500000,1,"[25, 54, 47, 9, 29, 28, 41, 76, 31, 45, 49, 73, 78, 59, 46, 33, 65, 20, 57, 51]"
1211944,1752766200000,3,"[77, 43, 53, 21, 54, 63, 62, 39, 71, 40, 27, 30, 25, 5, 29, 26, 46, 10, 72, 59]"
