draw_id,draw_time,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,num_20,freq_1,freq_2,freq_3,freq_4,freq_5,freq_6,freq_7,freq_8,freq_9,freq_10,freq_11,freq_12,freq_13,freq_14,freq_15,freq_16,freq_17,freq_18,freq_19,freq_20,freq_21,freq_22,freq_23,freq_24,freq_25,freq_26,freq_27,freq_28,freq_29,freq_30,freq_31,freq_32,freq_33,freq_34,freq_35,freq_36,freq_37,freq_38,freq_39,freq_40,freq_41,freq_42,freq_43,freq_44,freq_45,freq_46,freq_47,freq_48,freq_49,freq_50,freq_51,freq_52,freq_53,freq_54,freq_55,freq_56,freq_57,freq_58,freq_59,freq_60,freq_61,freq_62,freq_63,freq_64,freq_65,freq_66,freq_67,freq_68,freq_69,freq_70,freq_71,freq_72,freq_73,freq_74,freq_75,freq_76,freq_77,freq_78,freq_79,freq_80,gap_1,gap_2,gap_3,gap_4,gap_5,gap_6,gap_7,gap_8,gap_9,gap_10,gap_11,gap_12,gap_13,gap_14,gap_15,gap_16,gap_17,gap_18,gap_19,gap_20,gap_21,gap_22,gap_23,gap_24,gap_25,gap_26,gap_27,gap_28,gap_29,gap_30,gap_31,gap_32,gap_33,gap_34,gap_35,gap_36,gap_37,gap_38,gap_39,gap_40,gap_41,gap_42,gap_43,gap_44,gap_45,gap_46,gap_47,gap_48,gap_49,gap_50,gap_51,gap_52,gap_53,gap_54,gap_55,gap_56,gap_57,gap_58,gap_59,gap_60,gap_61,gap_62,gap_63,gap_64,gap_65,gap_66,gap_67,gap_68,gap_69,gap_70,gap_71,gap_72,gap_73,gap_74,gap_75,gap_76,gap_77,gap_78,gap_79,gap_80,is_7_hit,repeats_from_last_draw,odd_count,even_count,sum_total,low_numbers_count,high_numbers_count,std_deviation,most_common_hits,consecutive_count,unique_modulo_10
1000000,2023-02-09 11:30:00,5,61,23,79,43,78,62,48,13,40,10,33,39,74,30,22,64,37,65,80,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,10,10,906,10,10,24.044038543341344,0,6,9
1000001,2023-02-09 11:35:00,18,1,43,11,51,56,80,64,21,31,13,70,65,41,72,38,24,44,23,37,1,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,1,1,2,1,0,0,0,0,0,1,1,0,1,0,0,0,2,1,1,1,1,0,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,2,2,0,0,0,0,1,0,1,0,1,0,0,0,1,1,2,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,0,7,11,9,803,10,10,22.597799147611465,2,4,9
1000002,2023-02-09 11:40:00,69,55,37,29,33,58,75,36,54,7,39,23,61,14,16,73,1,30,42,8,2,0,0,0,1,0,1,1,0,1,1,0,2,1,0,1,0,1,0,0,1,1,3,1,0,0,0,0,1,2,1,0,2,0,0,1,3,1,2,1,1,1,2,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,2,1,0,2,2,0,0,0,1,1,0,1,1,1,1,0,0,1,1,2,1,-1,-1,-1,2,-1,-1,-1,-1,2,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,2,1,1,-1,-1,-1,-1,-1,2,1,-1,2,-1,-1,-1,1,1,2,2,1,-1,1,1,-1,-1,-1,2,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,2,2,-1,1,1,-1,-1,-1,-1,1,-1,1,-1,2,-1,-1,-1,2,2,1,1,3,12,8,760,12,8,22.636719122513735,5,4,10
1000003,2023-02-09 11:45:00,33,47,44,13,46,52,18,55,70,31,61,67,19,4,37,30,51,69,48,58,2,0,0,1,1,0,1,1,0,1,1,0,3,1,0,1,0,2,1,0,1,1,3,1,0,0,0,0,1,3,2,0,3,0,0,1,4,1,2,1,1,1,2,2,0,1,1,2,0,0,2,1,0,1,2,1,0,2,0,0,3,1,0,2,2,0,1,0,2,2,0,1,1,1,1,0,0,1,1,2,1,-1,-1,-1,3,-1,1,1,-1,3,2,-1,2,1,-1,1,-1,2,-1,-1,2,3,1,2,-1,-1,-1,-1,1,1,2,-1,1,-1,-1,1,1,2,1,3,2,1,2,2,-1,-1,-1,3,-1,-1,2,-1,-1,1,1,2,-1,1,-1,-1,1,3,-1,2,2,-1,-1,-1,1,2,-1,2,1,3,1,-1,-1,3,3,2,0,7,11,9,853,8,12,19.10986243030711,4,6,10
1000004,2023-02-09 11:50:00,10,74,67,38,44,2,1,53,14,75,26,52,48,4,12,61,66,70,15,17,3,1,0,2,1,0,1,1,0,2,1,1,3,2,1,1,1,2,1,0,1,1,3,1,0,1,0,0,1,3,2,0,3,0,0,1,4,2,2,1,1,1,2,3,0,1,1,3,0,0,2,2,1,1,2,1,0,2,0,0,4,1,0,2,2,1,2,0,2,3,0,1,1,2,2,0,0,1,1,2,2,-1,-1,1,4,-1,2,2,-1,4,3,-1,1,2,-1,2,-1,1,1,-1,3,4,2,3,-1,-1,-1,-1,2,1,1,-1,1,-1,-1,2,1,3,2,4,3,2,3,1,-1,1,1,1,-1,-1,1,1,-1,2,1,3,-1,1,-1,-1,1,4,-1,3,3,-1,1,-1,1,1,-1,3,2,4,2,-1,-1,4,4,3,0,7,7,13,749,10,10,26.522036517821014,2,5,9
1000005,2023-02-09 11:55:00,52,6,73,58,16,5,23,68,55,64,72,36,35,37,61,42,79,48,78,21,3,1,0,2,2,1,1,1,0,2,1,1,3,2,1,2,1,2,1,0,2,1,4,1,0,1,0,0,1,3,2,0,3,0,1,2,5,2,2,1,1,2,2,3,0,1,1,4,0,0,2,3,1,1,3,1,0,3,0,0,5,1,0,3,2,1,2,1,2,3,0,2,2,2,2,0,0,2,2,2,1,1,-1,1,5,-1,3,3,-1,1,4,1,2,1,1,3,1,2,2,-1,4,5,3,4,-1,1,-1,-1,3,2,2,-1,2,-1,-1,3,2,1,3,5,4,3,4,1,-1,2,2,1,-1,-1,2,1,1,3,2,4,-1,2,-1,-1,1,5,-1,4,4,1,1,-1,2,1,-1,4,3,1,1,-1,-1,5,5,4,0,3,9,11,929,8,12,23.46884833359454,3,5,9
1000006,2023-02-09 12:00:00,45,22,50,7,75,48,13,37,12,27,17,58,2,33,52,39,6,40,9,14,3,2,0,2,2,2,2,1,1,2,1,2,4,3,1,2,2,2,1,0,2,2,4,1,0,1,1,0,1,3,2,0,4,0,1,2,6,2,3,2,1,2,2,3,1,1,1,5,0,1,2,4,1,1,3,1,0,4,0,0,5,1,0,3,2,1,2,1,2,3,0,2,2,2,3,0,0,2,2,2,2,2,-1,2,1,1,4,4,-1,2,5,2,3,2,2,1,2,3,3,-1,1,6,1,5,-1,2,-1,-1,4,3,3,-1,3,-1,1,1,1,2,4,6,5,1,5,2,-1,3,3,1,-1,-1,3,1,2,4,1,5,-1,1,-1,-1,1,6,-1,1,5,2,2,1,3,2,-1,1,1,2,2,-1,-1,1,1,5,1,5,10,10,606,14,6,20.416969206494567,2,4,9
1000007,2023-02-09 12:05:00,7,62,10,74,24,14,31,45,49,71,60,13,5,47,76,25,34,39,48,50,3,2,0,2,3,2,3,1,1,3,1,2,5,4,1,2,2,2,1,0,2,2,4,2,1,1,1,0,1,3,3,0,4,1,1,2,6,2,4,2,1,2,2,3,2,1,2,6,1,2,2,4,1,1,3,1,0,4,0,1,5,2,0,3,2,1,2,1,2,3,1,2,2,3,3,1,0,2,2,2,3,1,-1,3,2,1,1,5,1,3,6,1,1,1,3,2,1,4,4,-1,2,1,2,6,-1,3,1,-1,5,4,4,-1,1,-1,2,2,1,3,1,1,6,2,6,3,1,4,4,1,-1,1,4,1,3,5,2,6,-1,1,-1,-1,2,7,-1,2,6,3,3,2,4,3,-1,2,2,3,1,-1,-1,2,2,6,1,7,10,10,784,10,10,22.735550645583558,4,5,10
1000008,2023-02-09 12:10:00,40,44,20,79,48,75,21,42,55,14,26,7,16,68,34,71,60,15,78,38,3,2,0,2,3,2,4,1,1,3,1,2,5,5,2,3,2,2,1,1,3,2,4,2,1,2,1,0,1,3,3,0,4,2,1,2,6,3,4,3,1,3,2,4,2,1,2,7,1,2,2,4,1,1,4,1,0,4,0,2,5,2,0,3,2,1,2,2,2,3,2,2,2,3,4,1,0,3,3,2,4,2,-1,4,1,2,1,6,2,1,7,2,1,1,4,3,2,5,5,-1,3,2,3,1,1,4,2,-1,6,5,1,-1,2,1,3,3,2,4,1,2,7,3,7,4,1,5,1,1,1,1,5,2,4,6,3,7,-1,2,-1,1,3,1,-1,3,7,4,4,3,5,4,1,3,3,1,2,1,-1,3,3,7,1,6,7,13,851,10,10,23.482300165286865,5,4,9
1000009,2023-02-09 12:15:00,32,70,13,59,58,48,36,35,75,34,54,73,33,55,20,46,12,28,8,56,3,2,0,2,3,2,4,2,1,3,1,3,6,5,2,3,2,2,1,2,3,2,4,2,1,2,1,1,1,3,3,1,5,3,2,3,6,3,4,3,1,3,2,4,2,2,2,8,1,2,2,4,1,2,5,2,0,5,1,2,5,2,0,3,2,1,2,2,2,4,2,2,3,3,5,1,0,3,3,2,5,3,-1,5,2,3,1,7,3,2,8,3,2,1,1,1,3,6,6,1,1,3,4,2,2,1,3,-1,7,6,2,-1,3,1,4,4,3,1,2,1,8,1,8,1,2,6,2,1,2,2,6,3,5,7,1,8,-1,3,-1,1,4,2,-1,4,8,5,5,1,6,5,1,4,4,2,1,2,-1,1,1,8,0,5,7,13,845,10,10,20.32078272425341,5,8,8
