Combination,Frequency
"(np.int64(20), np.int64(29), np.int64(48), np.int64(50), np.int64(58), np.int64(70))",3
"(np.int64(2), np.int64(9), np.int64(24), np.int64(32), np.int64(40), np.int64(64))",3
"(np.int64(21), np.int64(22), np.int64(23), np.int64(47), np.int64(56), np.int64(57))",3
"(np.int64(2), np.int64(4), np.int64(17), np.int64(29), np.int64(31), np.int64(35))",3
"(np.int64(4), np.int64(13), np.int64(17), np.int64(29), np.int64(58), np.int64(66))",3
"(np.int64(4), np.int64(17), np.int64(29), np.int64(50), np.int64(58), np.int64(66))",3
"(np.int64(7), np.int64(11), np.int64(21), np.int64(39), np.int64(48), np.int64(58))",3
"(np.int64(11), np.int64(24), np.int64(29), np.int64(39), np.int64(44), np.int64(48))",3
"(np.int64(13), np.int64(21), np.int64(22), np.int64(26), np.int64(29), np.int64(58))",3
"(np.int64(13), np.int64(21), np.int64(26), np.int64(48), np.int64(58), np.int64(70))",3
