draw_id,draw_time,hour,number_1,number_2,number_3,number_4,number_5,number_6,number_7,number_8,number_9,number_10,number_11,number_12,number_13,number_14,number_15,number_16,number_17,number_18,number_19,number_20
1093689,1970-01-01 00:28:37.286100,0,25,28,48,19,69,26,10,27,67,23,52,35,45,31,77,30,51,44,22,41
1093688,1970-01-01 00:28:37.285800,0,45,71,46,15,27,23,37,69,42,21,29,26,28,70,54,31,7,22,19,79
1093687,1970-01-01 00:28:37.285500,0,35,50,80,25,18,28,65,4,44,16,24,73,75,42,58,45,51,69,43,59
1093686,1970-01-01 00:28:37.285200,0,71,59,5,43,19,60,49,14,4,28,7,33,57,20,17,70,45,48,62,35
1093685,1970-01-01 00:28:37.284900,0,73,29,68,27,64,48,76,7,8,41,3,46,70,22,72,30,14,71,21,67
1093684,1970-01-01 00:28:37.284600,0,45,61,16,12,38,9,31,24,54,30,73,71,74,35,75,70,6,2,48,69
1093683,1970-01-01 00:28:37.284300,0,59,80,54,31,62,47,78,63,55,77,36,67,22,46,60,48,3,70,26,76
1093682,1970-01-01 00:28:37.284000,0,61,13,3,20,43,63,8,16,24,75,64,68,37,73,54,42,36,79,76,39
1093681,1970-01-01 00:28:37.283700,0,16,51,50,42,41,71,12,30,19,66,63,53,78,39,10,14,68,38,4,40
1093680,1970-01-01 00:28:37.283400,0,39,64,20,80,31,63,48,23,4,40,45,32,72,70,52,69,67,50,13,6
1093977,1970-01-01 00:28:37.372500,0,29,5,8,77,22,75,68,4,14,46,70,79,23,69,62,59,13,27,48,38
1093976,1970-01-01 00:28:37.372200,0,60,39,65,34,26,20,61,35,29,33,19,67,9,40,43,55,5,71,46,58
1093975,1970-01-01 00:28:37.371900,0,30,24,21,39,64,77,49,17,61,34,15,58,48,54,18,55,37,52,56,70
1093974,1970-01-01 00:28:37.371600,0,74,73,2,32,80,30,13,50,20,46,36,7,3,41,47,42,40,28,39,1
1093973,1970-01-01 00:28:37.371300,0,26,4,72,27,68,1,80,54,79,75,45,23,76,50,73,31,3,2,69,13
1093972,1970-01-01 00:28:37.371000,0,18,68,19,33,73,29,48,71,1,14,78,67,51,70,56,46,23,42,38,49
1093971,1970-01-01 00:28:37.370700,0,28,27,40,42,59,77,35,75,50,45,13,63,61,3,16,76,73,19,47,2
1093970,1970-01-01 00:28:37.370400,0,18,67,16,49,45,11,14,4,78,68,64,1,71,48,13,12,60,74,20,27
1093969,1970-01-01 00:28:37.370100,0,79,4,35,38,44,57,76,47,59,50,42,9,6,12,23,11,67,5,34,66
1093968,1970-01-01 00:28:37.369800,0,74,50,21,80,30,39,51,49,24,20,32,70,52,31,62,6,68,40,58,54
1094265,1970-01-01 00:28:37.458900,0,23,7,9,74,12,49,28,19,44,63,61,32,54,3,80,57,70,73,5,64
1094264,1970-01-01 00:28:37.458600,0,75,48,28,62,36,68,2,46,12,10,3,41,16,14,60,67,52,26,79,13
1094263,1970-01-01 00:28:37.458300,0,59,8,52,56,66,67,70,65,77,68,48,23,79,16,73,51,6,71,64,14
1094262,1970-01-01 00:28:37.458000,0,22,41,32,29,35,31,9,18,39,34,11,6,63,75,71,2,40,66,21,65
1094261,1970-01-01 00:28:37.457700,0,15,60,28,27,31,51,10,80,29,55,5,3,46,14,49,50,26,38,57,63
1094260,1970-01-01 00:28:37.457400,0,19,22,40,27,79,47,41,4,53,11,30,34,39,32,80,6,5,23,57,35
1094259,1970-01-01 00:28:37.457100,0,46,51,44,8,52,53,54,69,57,13,31,34,37,28,72,43,42,21,60,79
1094258,1970-01-01 00:28:37.456800,0,7,13,74,18,69,77,34,23,14,8,63,30,53,4,20,62,67,73,60,46
1094257,1970-01-01 00:28:37.456500,0,41,17,42,51,16,46,37,64,31,40,54,49,5,55,52,32,8,50,73,74
1094256,1970-01-01 00:28:37.456200,0,34,56,11,31,9,79,72,4,69,37,67,28,49,71,75,43,44,5,48,51
1094553,1970-01-01 00:28:37.545300,0,11,25,45,32,48,15,35,23,46,58,31,65,74,50,1,17,2,12,27,61
