Combination,Frequency
"(6, 8, 12, 20, 25, 26, 31, 32, 33, 37, 45, 55)",1
"(6, 8, 12, 20, 25, 26, 31, 32, 33, 37, 45, 57)",1
"(6, 8, 12, 20, 25, 26, 31, 32, 33, 37, 45, 61)",1
"(6, 8, 12, 20, 25, 26, 31, 32, 33, 37, 45, 62)",1
"(6, 8, 12, 20, 25, 26, 31, 32, 33, 37, 45, 66)",1
"(6, 8, 12, 20, 25, 26, 31, 32, 33, 37, 45, 72)",1
"(6, 8, 12, 20, 25, 26, 31, 32, 33, 37, 45, 74)",1
"(6, 8, 12, 20, 25, 26, 31, 32, 33, 37, 45, 76)",1
"(6, 8, 12, 20, 25, 26, 31, 32, 33, 37, 45, 78)",1
"(6, 8, 12, 20, 25, 26, 31, 32, 33, 37, 55, 57)",1
