Combination,Frequency
"(5, 21, 54, 59)",38
"(10, 16, 17, 40)",38
"(20, 31, 54, 80)",36
"(17, 24, 30, 31)",36
"(31, 43, 56, 80)",36
"(22, 31, 54, 80)",36
"(5, 40, 45, 57)",36
"(46, 63, 65, 78)",36
"(31, 43, 54, 80)",35
"(22, 54, 70, 80)",35
"(21, 55, 70, 71)",35
"(25, 52, 63, 64)",35
"(10, 56, 57, 80)",35
"(30, 60, 76, 78)",35
"(19, 23, 29, 63)",35
"(6, 18, 31, 68)",35
"(14, 27, 30, 31)",34
"(24, 40, 50, 64)",34
"(18, 45, 67, 76)",34
"(22, 29, 41, 54)",34
"(43, 54, 56, 80)",34
"(22, 30, 52, 72)",34
"(1, 8, 29, 68)",34
"(22, 29, 45, 53)",34
"(17, 30, 31, 78)",34
"(6, 30, 31, 80)",34
"(10, 48, 62, 74)",34
"(23, 25, 31, 79)",34
"(17, 27, 41, 57)",34
"(34, 65, 78, 79)",34
"(21, 46, 48, 53)",34
"(33, 45, 55, 75)",34
"(20, 41, 44, 55)",34
"(22, 54, 62, 80)",34
"(29, 44, 59, 76)",34
"(13, 35, 63, 75)",34
"(35, 54, 57, 74)",33
"(39, 44, 61, 63)",33
"(44, 45, 60, 71)",33
"(20, 29, 57, 70)",33
"(17, 21, 43, 58)",33
"(22, 33, 70, 79)",33
"(14, 52, 54, 79)",33
"(10, 32, 46, 70)",33
"(35, 39, 43, 48)",33
"(14, 29, 59, 76)",33
"(17, 31, 65, 78)",33
"(27, 30, 39, 54)",33
"(2, 45, 53, 71)",33
"(16, 32, 53, 68)",33
