Combination,Frequency
"(1, 16, 18, 22, 26, 31, 35, 36, 37, 43, 46, 51, 53, 54, 64, 67)",1
"(1, 16, 18, 22, 26, 31, 35, 36, 37, 43, 46, 51, 53, 54, 64, 69)",1
"(1, 16, 18, 22, 26, 31, 35, 36, 37, 43, 46, 51, 53, 54, 64, 74)",1
"(1, 16, 18, 22, 26, 31, 35, 36, 37, 43, 46, 51, 53, 54, 64, 76)",1
"(1, 16, 18, 22, 26, 31, 35, 36, 37, 43, 46, 51, 53, 54, 64, 80)",1
"(1, 16, 18, 22, 26, 31, 35, 36, 37, 43, 46, 51, 53, 54, 67, 69)",1
"(1, 16, 18, 22, 26, 31, 35, 36, 37, 43, 46, 51, 53, 54, 67, 74)",1
"(1, 16, 18, 22, 26, 31, 35, 36, 37, 43, 46, 51, 53, 54, 67, 76)",1
"(1, 16, 18, 22, 26, 31, 35, 36, 37, 43, 46, 51, 53, 54, 67, 80)",1
"(1, 16, 18, 22, 26, 31, 35, 36, 37, 43, 46, 51, 53, 54, 69, 74)",1
